㓥,tong1
属于,suk6 jyu1
層,cang4
層次,cang4 ci3
層面,cang4 min2
履历,lei5 lik6
履歷,lei5 lik6
屬下,suk6 haa6
屬於,suk6 jyu1
屯門,tyun4 mun4
屯门,tyun4 mun4
山,saan1
山崖,saan3 ngaai4
山度士,saan1 dou6 si2
山水画,saan1 seoi2 waa2
山水畫,saan1 seoi2 waa2
山高黃帝遠,saan1 gou1 wong4 dai3 jyun5
山高黄帝远,saan1 gou1 wong4 dai3 jyun5
屹立不倒,ngat6 laap6 bat1 dou2
岁,seoi3
岁数,seoi3 sou3
岂,hei2
岗位,gong1 wai2
岭南,ling5 naam4
峯,fung1
峰,fung1
崇尚,sung4 soeng6
崇拜,sung4 baai3
崇高,sung4 gou1
崖,ngaai4
崗位,gong1 wai2
崩溃,bang1 kui2
崩潰,bang1 kui2
嶺南,ling5 naam4
巅峰,din1 fung1
巔峯,din1 fung1
巔峰,din1 fung1
巡回,ceon4 wui4
巡徊,ceon4 wui4
巡游,ceon4 jau4
巡迴,ceon4 wui4
巡遊,ceon4 jau4
工,gung1
工业,gung1 jip6
工人,gung1 jan4
工作,gung1 zok3
工作天,gung1 zok3 tin1
工作量,gung1 zok3 loeng6
工具,gung1 geoi6
工具书,gung1 geoi6 syu1
工具書,gung1 geoi6 syu1
工厂,gung1 cong2
工廠,gung1 cong2
工業,gung1 jip6
工程师,gung1 cing4 si1
工程師,gung1 cing4 si1
左,zo2
左右,zo2 jau2
左眼,zo2 ngaan5
巨大,geoi6 daai6
差,caa1
差不多,caa1 bat1 do1
差人,caai1 jan4
差唔,caa1 m4
差唔多,caa1 m4 do1
差館,caai1 gun2
差馆,caai1 gun2
己所不欲,gei2 so2 bat1 juk6
已,ji5
已經,ji5 ging1
已经,ji5 ging1
巴士,baa1 si2
巴士站,baa1 si2 zaam6
巴西,baa1 sai1
巴閉,baa1 bai3
巴闭,baa1 bai3
巴黎,baa1 lai4
巷,hong2
市,si5
市侩,si2 kui2
市儈,si2 kui2
市场,si5 coeng4
市場,si5 coeng4
市容,si5 jung4
市民,si5 man4
市道,si5 dou6
市長,si5 zoeng2
市长,si5 zoeng2
市面,si5 min6
布,bou3
布局,bou3 guk6
布置,bou3 zi3
帅,seoi3
师兄,si1 hing1
师奶,si1 naai1
希伯來書,hei1 baak3 loi4 syu1
希伯来书,hei1 baak3 loi4 syu1
希望,hei1 mong6
希腊,hei1 lip6
希臘,hei1 lip6
帐,zoeng3
帕斯,paak3 si1
帖,tip2
帚,zaau2
帝濠,dai3 hou4
帝苑,dai3 jyun2
帥,seoi3
带,daai3
带出,daai3 ceot1
带来,daai3 lai4
带队,daai3 deoi2
带领,daai3 ling5
師兄,si1 hing1
師奶,si1 naai1
帮,bong1
帮助,bong1 zo6
帮忙,bong1 mong4
帮手,bong1 sau2
帮衬,bong1 can3
帳,zoeng3
帶,daai3
帶來,daai3 lai4
帶出,daai3 ceot1
帶隊,daai3 deoi2
帶領,daai3 ling5
常,soeng4
常理,soeng4 lei5
常用,soeng4 jung6
幅,fuk1
幕后,mok6 hau6
幕後,mok6 hau6
幫,bong1
幫助,bong1 zo6
幫忙,bong1 mong4
幫手,bong1 sau2
幫襯,bong1 can3
干,gon1
干净,gon1 zeng6
干扰,gon1 jiu2
干擾,gon1 jiu2
干湿褛,gon1 sap1 lau1
干脆,gon1 ceoi3
平,peng4
平台,ping4 toi4
平均,ping4 gwan1
平安,ping4 on1
平安夜,ping4 on1 je6
平常人,ping4 soeng4 jan4
平日,ping4 jat6
平时,ping4 si4
平時,ping4 si4
平淡,ping4 daam6
平稳,ping4 wan2
平穩,ping4 wan2
平臺,ping4 toi4
平衡,ping4 hang4
年,nin4
年代,nin4 doi6
年份,nin4 fan6
年初,nin4 co1
年尾,nin4 mei5
年年,nin4 nin4
年期,nin4 kei4
年班,nin4 baan1
年紀,nin4 gei2
年纪,nin4 gei2
年薪,nin4 san1
年資,nin4 zi1
年资,nin4 zi1
年輕,nin4 hing1
年轻,nin4 hing1
年長,nin4 zoeng2
年长,nin4 zoeng2
年青人,nin4 cing1 jan4
年齡,nin4 ling4
年龄,nin4 ling4
并且,bing6 ce2
幸运,hang6 wan6
幸運,hang6 wan6
幹擾,gon1 jiu2
幻灯片,waan6 dang1 pin2
幻燈片,waan6 dang1 pin2
幻覺,waan6 gok3
幻觉,waan6 gok3
幼,jau3
幼稚,jau3 zi6
幽浮,jau1 fau4
幽默,jau1 mak6
幾,gei2
幾乎,gei1 fu4
幾十,gei2 sap6
幾千,gei2 cin1
幾可,gei2 ho2
幾咁,gei2 gam3
幾多,gei2 do1
幾大,gei2 daai6
幾年前,gei2 nin4 cin4
幾廿,gei2 jaa6
幾時,gei2 si4
幾百,gei2 baak3
幾百萬,gei2 baak3 maan6
幾耐,gei2 noi6
幾萬,gei2 maan6
幾點,gei2 dim2
幾點鐘,gei2 dim2 zung1
广,gwong2
广东,gwong2 dung1
广东省,gwong2 dung1 saang2
广东话,gwong2 dung1 waa2
广东道,gwong2 dung1 dou6
广告,gwong2 gou3
广大,gwong2 daai6
广州,gwong2 zau1
广才,gwong2 coi4
广泛,gwong2 faan6
庆幸,hing3 hang6
庆祝,hing3 zuk1
床,cong4
床鋪,cong4 pou1
床铺,cong4 pou1
库,fu3
应,jing1
应付,jing3 fu6
应承,jing1 sing4
应有,jing1 jau5
应用,jing3 jung6
应该,jing1 goi1
底,dai2
底下,dai2 haa6
底色,dai2 sik1
底部,dai2 bou6
店,dim3
庙,miu6
庚,gang1
废,fai3
废柴,fai3 caai4
废话,fai3 waa2
度,dou6
度度,dou6 dou6
度桥,dok6 kiu2
度橋,dok6 kiu2
座,zo6
座垫,zo6 zin3
座墊,zo6 zin3
庫,fu3
廁所,ci3 so2
廁紙,ci3 zi2
廈,haa6
廉价,lim4 gaa3
廉價,lim4 gaa3
廉政公署,lim4 zing3 gung1 cyu5
廉政行动,lim4 zing3 hang4 dung6
廉政行動,lim4 zing3 hang4 dung6
廖,liu6
廚師,cyu4 si1
廚房,cyu4 fong2
廟,miu6
廠,cong2
廢,fai3
廢柴,fai3 caai4
廢話,fai3 waa2
廣,gwong2
廣告,gwong2 gou3
廣大,gwong2 daai6
廣州,gwong2 zau1
廣才,gwong2 coi4
廣東,gwong2 dung1
廣東省,gwong2 dung1 saang2
廣東話,gwong2 dung1 waa2
廣東道,gwong2 dung1 dou6
廣泛,gwong2 faan6
延長,jin4 coeng4
延长,jin4 coeng4
建仁,gin6 jan4
建树,gin3 syu6
建樹,gin3 syu6
建立,gin3 laap6
建筑物,gin3 zuk1 mat6
建築物,gin3 zuk1 mat6
建設,gin3 cit3
建議,gin3 ji5
建議書,gin3 ji5 syu1
建议,gin3 ji5
建议书,gin3 ji5 syu1
建设,gin3 cit3
廿,jaa6
廿一,jaa6 jat1
廿七,jaa6 cat1
廿七号,jaa6 cat1 hou6
廿七点几,jaa6 cat1 dim2 gei2
廿七號,jaa6 cat1 hou6
廿七點幾,jaa6 cat1 dim2 gei2
廿三,jaa6 saam1
廿九,jaa6 gau2
廿二,jaa6 ji6
廿五,jaa6 ng5
廿八,jaa6 baat3
廿八号,jaa6 baat3 hou6
廿八號,jaa6 baat3 hou6
廿六号,jaa6 luk6 hou6
廿六號,jaa6 luk6 hou6
廿几,jaa6 gei2
廿四,jaa6 sei3
廿四号,jaa6 sei3 hou6
廿四號,jaa6 sei3 hou6
廿幾,jaa6 gei2
开,hoi1
开会,hoi1 wui2
开刀,hoi1 dou1
开叉,hoi1 caa1
开场,hoi1 coeng4
开夜车,hoi1 je6 ce1
开头,hoi1 tau4
开始,hoi1 ci2
开学,hoi1 hok6
开市,hoi1 si5
开心,hoi1 sam1
开支,hoi1 zi1
开放式,hoi1 fong3 sik1
开朗,hoi1 long5
开档,hoi1 dong3
异性,ji6 sing3
异议,ji6 ji5
弃舖潜逃,hei3 pou3 cim4 tou4
弊,bai6
弊傢伙,bai6 gaa1 fo2
弊家伙,bai6 gaa1 fo2
式,sik1
弓,gung1
引,jan5
引伸,jan5 san1
引誘,jan5 jau5
引诱,jan5 jau5
弟,dai6
弟妇,dai6 fu5
弟婦,dai6 fu5
张,zoeng1
张张,zoeng1 zoeng1
张良计,zoeng1 loeng4 gai3
弥天大罪,lei4 tin1 daai6 zeoi6
弥敦道,lei4 deon1 dou6
弥补,lei4 bou2
弯,waan1
弱,joek6
弱肉強食,joek6 juk6 koeng4 sik6
弱肉强食,joek6 juk6 koeng4 sik6
張,zoeng1
張張,zoeng1 zoeng1
張良計,zoeng1 loeng4 gai3
強,koeng4
強勁,koeng4 ging6
強心針,koeng4 sam1 zam1
強打,koeng4 daa2
強項,koeng4 hong6
弹,daan6
弹力,daan6 lik6
弹性,daan6 sing3
强,koeng4
强劲,koeng4 ging6
强心针,koeng4 sam1 zam1
强打,koeng4 daa2
强项,koeng4 hong6
彈,daan6
彈力,daan6 lik6
彈性,daan6 sing3
彌天大罪,lei4 tin1 daai6 zeoi6
彌敦道,lei4 deon1 dou6
彌補,lei4 bou2
彎,waan1
归还,gwai1 waan4
当,dong1
当中,dong1 zung1
当事人,dong1 si4 jan4
当其时,dong1 kei4 si4
当场,dong1 coeng4
当年,dong1 nin4
当日,dong1 jat6
当时,dong1 si4
当然,dong1 jin4
当道,dong1 dou6
录,luk6
录影带,luk6 jing2 daai2
录影机,luk6 jing2 gei1
录音,luk6 jam1
录音机,luk6 jam1 gei1
形,jing4
形容,jing4 jung4
形式,jing4 sik1
形态,jing4 taai3
形態,jing4 taai3
形状,jing4 zong6
形狀,jing4 zong6
形象,jing4 zoeng6
彩虹,coi2 hung4
彭,paang4
影,jing2
影印,jing2 jan3
影印机,jing2 jan3 gei1
影印機,jing2 jan3 gei1
影响,jing2 hoeng2
影片,jing2 pin2
影相,jing2 soeng2
影碟,jing2 dip2
影院,jing2 jyun2
影響,jing2 hoeng2
彼此,bei2 ci2
往,wong5
征,zing1
待,doi6
很,han2
律师,leot6 si1
律师楼,leot6 si1 lau4
律師,leot6 si1
律師樓,leot6 si1 lau4
後,hau6
後來,hau6 loi4
後塵,hau6 can4
後尾,hau6 mei1
後期,hau6 kei4
後果,hau6 gwo2
後生,hau6 saang1
後生仔,hau6 saang1 zai2
後邊,hau6 bin6
後面,hau6 min6
後顧之憂,hau6 gu3 zi1 jau1
徐,ceoi4
得,dak1
得人惊,dak1 jan4 geng1
得人驚,dak1 jan4 geng1
得切,dak1 cit3
得到,dak1 dou2
得意,dak1 ji3
得手,dak1 sau2
得滞,dak1 zai6
得滯,dak1 zai6
得益,dak1 jik1
得罪,dak1 zeoi6
得閒,dak1 haan4
得闲,dak1 haan4
從,cung4
從事,cung4 si6
從來,cung4 loi4
從而,cung4 ji4
御,jyu6
復活,fuk6 wut6
循环,ceon4 waan4
循環,ceon4 waan4
徬徨,pong4 wong4
微,mei4
微服出巡,mei4 fuk6 ceot1 ceon4
徵,zing1
德仔,dak1 zai2
德华,dak1 waa4
德国,dak1 gwok3
德國,dak1 gwok3
德昭,dak1 ciu1
德華,dak1 waa4
德超,dak1 ciu1
徽章,fai1 zoeng1
心,sam1
心境,sam1 ging2
心广体胖,sam1 gwong2 tai2 bun6
心廣體胖,sam1 gwong2 tai2 bun6
心得,sam1 dak1
心态,sam1 taai3
心急,sam1 gap1
心情,sam1 cing4
心愿,sam1 jyun6
心態,sam1 taai3
心机,sam1 gei1
心機,sam1 gei1
心理,sam1 lei5
心理学,sam1 lei5 hok6
心理學,sam1 lei5 hok6
心痛,sam1 tung3
心瘾,sam1 jan5
心癮,sam1 jan5
心目中,sam1 muk6 zung1
心脏,sam1 zong6
心脏病,sam1 zong6 beng6
心臟,sam1 zong6
心臟病,sam1 zong6 beng6
心血,sam1 hyut3
心裏,sam1 leoi5
心諗,sam1 nam2
心谂,sam1 nam2
心郁郁,sam1 juk1 juk1
心里,sam1 leoi5
心願,sam1 jyun6
心鬱郁,sam1 juk1 juk1
必備,bit1 bei6
必备,bit1 bei6
必然性,bit1 jin4 sing3
必要,bit1 jiu3
必要时,bit1 jiu3 si4
必要時,bit1 jiu3 si4
忌,gei6
忍,jan2
忍受,jan2 sau6
志伟,zi3 wai5
志偉,zi3 wai5
志在,zi3 zoi6
忘記,mong4 gei3
忘记,mong4 gei3
忙,mong4
忠直,zung1 zik6
忧虑,jau1 leoi6
快,faai3
快乐,faai3 lok6
快快脆脆,faai3 faai3 ceoi3 ceoi3
快捞,faai1 lou2
快撈,faai1 lou2
快樂,faai3 lok6
快脆,faai3 ceoi3
快譯通,faai3 jik6 tung1
快译通,faai3 jik6 tung1
快速,faai3 cuk1
快鏡,faai3 geng3
快镜,faai3 geng3
忽然,fat1 jin4
忽然間,fat1 jin4 gaan1
忽然间,fat1 jin4 gaan1
忽略,fat1 loek6
忽萌奇想,fat1 mang4 kei4 soeng2
怀念,waai4 nim6
怀枝,waai4 zi1
怀疑,waai4 ji4
态度,taai3 dou6
怂恿,sung2 jung2
怎,zam2
怕,paa3
怕丑,paa3 cau2
怕醜,paa3 cau2
思想,si1 soeng2
思疑,si1 ji4
思考,si1 haau2
思龍,si1 lung4
思龙,si1 lung4
急,gap1
急性,gap1 sing3
性,sing3
性情,sing3 cing4
性格,sing3 gaak3
怨,jyun3
怪,gwaai3
怪怪地,gwaai3 gwaai2 dei2
怪雞,gwaai3 gai1
怪鸡,gwaai3 gai1
总,zung2
总之,zung2 zi1
总决赛,zung2 kyut3 coi3
总然之,zung2 jin4 zi1
总算,zung2 syun3
总言之,zung2 jin4 zi1
恆生,hang4 sang1
恆生指數,hang4 sang1 zi2 sou3
恆生銀行,hang4 sang1 ngan4 hong4
恋,lyun2
恐佈,hong2 bou3
恐布,hong2 bou3
恐怕,hung2 paa3
恐怖,hung2 bou3
恐惧,hung2 geoi6
恐懼,hung2 geoi6
恐防,hung2 fong4
恐龍,hung2 lung4
恐龙,hung2 lung4
恒生,hang4 sang1
恒生指数,hang4 sang1 zi2 sou3
恒生银行,hang4 sang1 ngan4 hong4
恕,syu3
恤衫,seot1 saam1
恥,ci2
恨,han6
恩愛,jan1 oi3
恩斯,jan1 si1
恩爱,jan1 oi3
恭,gung1
息,sik1
恰,hap1
恶,ok3
恶做,ok3 zou6
恶劣,ok3 lyut6
恶势力,ngok3 sai3 lik6
恶化,ok3 faa3
恶毒,ok3 duk6
恶顶,ok3 ding2
恻隐之心,caak1 jan2 zi1 sam1
悉尼,sik1 nei4
悔,fui3
悟,ng6
患,waan6
您,nei5
悬,jyun4
悭,haan1
悭俭,haan1 gim6
悲,bei1
悶,mun6
情,cing4
情人,cing4 jan4
情况,cing4 fong3
情妇,cing4 fu5
情婦,cing4 fu5
情形,cing4 jing4
情急之下,cing4 gap1 zi1 haa6
情感,cing4 gam2
情況,cing4 fong3
情竟,cing4 ging2
情趣,cing4 ceoi3
惊,geng1
惊讶,ging1 ngaa6
惑,waak6
惠敏,wai6 man5
惡,ok3
惡做,ok3 zou6
惡劣,ok3 lyut6
惡勢力,ngok3 sai3 lik6
惡化,ok3 faa3
惡毒,ok3 duk6
惡頂,ok3 ding2
惨,caam2
惨剧,caam2 kek6
惨无人道,caam2 mou4 jan4 dou6
惩罚,cing4 fat6
惬意,haap3 ji3
惭,caam4
惯,gwaan3
想,soeng2
想像,soeng2 zoeng6
惹,je5
惻隱之心,caak1 jan2 zi1 sam1
愈,jyu6
意义,ji3 ji6
意会,ji3 wui6
意外,ji3 ngoi6
意大利,ji3 daai6 lei6
意思,ji3 si1
意料之外,ji3 liu6 zi1 ngoi6
意會,ji3 wui6
意義,ji3 ji6
意見,ji3 gin3
意见,ji3 gin3
意識,ji3 sik1
意识,ji3 sik1
愛,oi3
愛來,oi3 lai4
愛滋病,ngoi3 zi1 beng6
愛錫,oi3 sek3
愜意,haap3 ji3
感,gam2
感人,gam2 jan4
感受,gam2 sau6
感情,gam2 cing4
感染,gam2 jim5
感覺,gam2 gok3
感觉,gam2 gok3
愿,jyun6
愿意,jyun6 ji3
愿望,jyun6 mong6
慈善,ci4 sin6
態度,taai3 dou6
慌,fong1
慘,caam2
慘劇,caam2 kek6
慘無人道,caam2 mou4 jan4 dou6
慚,caam4
慢,maan6
慢慢,maan6 maan2
慣,gwaan3
慧君,wai6 gwan1
慧娴,wai6 haan4
慧嫻,wai6 haan4
慧琪,wai6 kei4
慫恿,sung2 jung2
慳,haan1
慳儉,haan1 gim6
慶幸,hing3 hang6
慶祝,hing3 zuk1
慼慼然,cik1 cik1 jin4
憂慮,jau1 leoi6
憎,zang1
憑,pang4
憑住,pang4 zyu6
憧憬,cung1 ging2
懂,dung2
應,jing1
應付,jing3 fu6
應承,jing1 sing4
應有,jing1 jau5
應用,jing3 jung6
應該,jing1 goi1
懒,laan5
懲罰,cing4 fat6
懵,mung2
懵gwing2,mung2 gwing2
懵查查,mung4 caa4 caa4
懶,laan5
懷念,waai4 nim6
懷枝,waai4 zi1
懷疑,waai4 ji4
懸,jyun4
戀,lyun2
戆居,ngong6 geoi1
戆居居,ngong6 geoi1 geoi1
戇居,ngong6 geoi1
戇居居,ngong6 geoi1 geoi1
戏,hei3
戏名,hei3 meng2
戏院,hei3 jyun2
成,seng4
成世,seng4 sai3
成个,seng4 go3
成为,sing4 wai4
成份股,sing4 fan6 gu2
成個,seng4 go3
成功,sing4 gung1
成功感,sing4 gung1 gam2
成就,sing4 zau6
成年人,sing4 nin4 jan4
成日,seng4 jat6
成本,sing4 bun2
成果,sing4 gwo2
成為,sing4 wai4
成熟,sing4 suk6
成立,sing4 laap6
成績,sing4 zik1
成绩,sing4 zik1
成药,sing4 joek6
成藥,sing4 joek6
我,ngo5
我哋,ngo5 dei6
我有过墙梯,ngo5 jau5 gwo3 coeng4 tai1
我有過牆梯,ngo5 jau5 gwo3 coeng4 tai1
或,waak6
或多或少,waak6 do1 waak6 siu2
或者,waak6 ze2
战争,zin3 zang1
戚戚然,cik1 cik1 jin4
戥,dang6
截,zit6
截止,zit6 zi2
戰爭,zin3 zang1
戲,hei3
戲名,hei3 meng2
戲院,hei3 jyun2
戴,daai3
房,fong2
房租,fong4 zou1
所,so2
所以,so2 ji5
所有,so2 jau5
所謂,so2 wai6
所谓,so2 wai6
手,sau2
手下,sau2 haa6
手信,sau2 seon3
手头上,sau2 tau4 soeng6
手手脚脚,sau2 sau2 goek3 goek3
手手腳腳,sau2 sau2 goek3 goek3
手掌,sau2 zoeng2
手掣,sau2 zai3
手提,sau2 tai4
手提电话,sau2 tai4 din6 waa2
手提電話,sau2 tai4 din6 waa2
手术,sau2 seot6
手气,sau2 hei3
手氣,sau2 hei3
手法,sau2 faat3
手神,sau2 san4
手續,sau2 zuk6
手续,sau2 zuk6
手術,sau2 seot6
手袜,sau2 mat6
手襪,sau2 mat6
手鏈,sau2 lin2
手链,sau2 lin2
手頭上,sau2 tau4 soeng6
扎,zaat3
扎醒,zaat3 seng2
打,daa2
打乞嗤,daa2 hat1 ci1
打交,daa2 gaau1
打仗,daa2 zoeng3
打劫,daa2 gip3
打工,daa2 gung1
打工仔,daa2 gung1 zai2
打开,daa2 hoi1
打扫,daa2 sou3
打拳,daa2 kyun2
打掃,daa2 sou3
打机,daa2 gei1
打機,daa2 gei1
打油詩,daa2 jau4 si1
打油诗,daa2 jau4 si1
打游击,daa2 jau4 gik1
打游擊,daa2 jau4 gik1
打理,daa2 lei5
打电话,daa2 din6 waa2
打算,daa2 syun3
打边炉,daa2 bin1 lou4
打遊擊,daa2 jau4 gik1
打邊爐,daa2 bin1 lou4
打鐘,daa2 zung1
打钟,daa2 zung1
打開,daa2 hoi1
打電話,daa2 din6 waa2
打骰,daa2 sik1
打麻雀,daa2 maa4 zoek2
托,tok3
托賴,tok3 laai6
托赖,tok3 laai6
扣,kau3
执,zap1
执包袱,zap1 baau1 fuk6
执笠,zap1 lap1
执行,zap1 hang4
扫,sou3
扫街,sou3 gaai1
扬,joeng4
扭,nau2
扮,baan6
扮嘢,baan6 je5
扮蟹,baan6 haai5
扯,ce2
扱,kap1
扶,fu4
批,pai1
扺死,dai2 sei2
扼,aak1
扼杀,ngaak1 saat3
扼殺,ngaak1 saat3
找,zaau2
承認,sing4 jing6
承諾,sing4 lok3
承认,sing4 jing6
承诺,sing4 lok3
技巧,gei6 haau2
抄,caau1
抉择,kyut3 zaak6
抉擇,kyut3 zaak6
把,baa2
把握,baa2 aak1
把炮,baa2 paau3
抌,dam2
抑或,jik1 waak6
抓,zaa1
投,tau4
投入,tau4 jap6
投票,tau4 piu3
投訴,tau4 sou3
投诉,tau4 sou3
投資,tau4 zi1
投资,tau4 zi1
抖,tau2
抗拒,kong3 keoi5
折,zip3
折堕,zit3 do6
折墮,zit3 do6
抚养权,fu2 joeng5 kyun4
抛,paau1
抢,coeng2
抢市,coeng2 si5
报,bou3
报串,bou3 cyun3
报仇,bou3 sau4
报到,bou3 dou2
报告,bou3 gou3
报导,bou3 dou6
报税,bou3 seoi3
报纸,bou3 zi2
报警,bou3 ging2
披,pei1
抱,pou5
抵,dai2
抵死,dai2 sei2
抹,mut3
押韵,aat3 wan5
押韻,aat3 wan5
抽,cau1
抽奖,zau1 zoeng2
抽獎,zau1 zoeng2
抽稅,cau1 seoi3
抽税,cau1 seoi3
抽筋,cau1 gan1
抽签,cau1 cim1
抽簽,cau1 cim1
拃,zaa6
担,daam1
担心,daam1 sam1
担忧,daam1 jau1
拇指,mou5 zi2
拉,laai1
拉去,laai1 heoi3
拉斯維加斯,laai1 si1 wai4 gaa1 si1
拉斯维加斯,laai1 si1 wai4 gaa1 si1
拉萨,laai1 saat3
拉薩,laai1 saat3
拋,paau1
拍,paak3
拍低,paak3 dai1
拍戏,paak3 hei3
拍戲,paak3 hei3
拍拖,paak3 to1
拍法,paak3 faat3
拍片,paak3 pin2
拍馬都拍唔上,paak3 maa5 dou1 paak3 m4 soeng5
拍马都拍唔上,paak3 maa5 dou1 paak3 m4 soeng5
拎,ling1
拎去,ling1 heoi3
拎走,ling1 zau2
拏更,laa1 gaang1
拐带,gwaai2 daai3
拐帶,gwaai2 daai3
拒絕,keoi5 zyut6
拒绝,keoi5 zyut6
拖,to1
拖地,to1 dei6
拖鞋,to1 haai2
拗,aau3
拗柴,ngaau2 caai4
拚pe5,pun2 pe5
招,ziu1
招呼,ziu1 fu1
招数,ziu1 sou3
招數,ziu1 sou3
招积,ziu1 zik1
招積,ziu1 zik1
招魂,ziu1 wan4
拜拜,baai1 baai3
拣,gaan2
拣人,gaan2 jan4
拥开,ung2 hoi1
拥有,jung2 jau5
拦,laan4
拧头,ling6 tau2
拧转,ling6 zyun3
拭目以待,sik1 muk6 ji5 doi6
拱起,gung2 hei2
拳,kyun4
拼,ping3
拼音,ping3 jam1
拾,sap6
拿,laa2
挂,gwaa3
挂住,gwaa3 zyu6
指,zi2
指令,zi2 ling6
指定,zi2 ding6
指控,zi2 hung3
指教,zi2 gaau3
指数,zi2 sou3
指數,zi2 sou3
指标,zi2 biu1
指標,zi2 biu1
指示,zi2 si6
按,on3
按摩,on3 mo1
挑战,tiu1 zin3
挑戰,tiu1 zin3
挛,lyun1
挞,daat3
挟,hip6
挣,zaang1
挤眉弄眼,zai1 mei4 lung6 ngaan5
挥霍,fai1 fok3
挨,ngaai4
挨更抵夜,ngaai4 gaang1 dai2 je6
挪威,no4 wai1
振奋,zan3 fan5
振奮,zan3 fan5
挺,ting5
挾,hip6
捉,zuk1
捉走,zuk1 zau2
捐,gyun1
捐血,gyun1 hyut3
捕,bou6
捞,lou1
捞乱,lou1 lyun6
损,syun2
损伤,syun2 soeng1
损失,syun2 sat1
损毁,syun2 wai2
捡,gim2
换,wun6
换取,wun6 ceoi2
换血,wun6 hyut3
换转,wun6 zyun3
捧,pung2
捧场,pung2 coeng4
捧場,pung2 coeng4
捨,se2
捨得,se2 dak1
据,geoi3
据讲,geoi3 gong2
捱,ngaai4
捶,ceoi4
捷克,zit3 haak1
掂,dim6
掃,sou3
掃街,sou3 gaai1
掅,cing3
掉,diu6
掌,zoeng2
掌上压,zoeng2 soeng6 aat3
掌上壓,zoeng2 soeng6 aat3
掌声,zoeng2 sing1
掌握,zoeng2 aak1
掌管,zoeng2 gun2
掌聲,zoeng2 sing1
掌門人,zoeng2 mun4 jan4
掌门人,zoeng2 mun4 jan4
排,paai4
排位,paai4 wai2
排出,paai4 ceot1
排列,paai4 lit6
排練,paai4 lin6
排练,paai4 lin6
排長,paai4 coeng4
排长,paai4 coeng4
排队,paai4 deoi2
排隊,paai4 deoi2
掙,zaang1
掛,gwaa3
掛住,gwaa3 zyu6
掟,deng3
採取,coi2 ceoi2
探,taam3
探索者号,taam3 sok3 ze2 hou6
探索者號,taam3 sok3 ze2 hou6
探討,taam3 tou2
探讨,taam3 tou2
掣,zai3
接,zip3
接一浪,zip3 jat1 long6
接受,zip3 sau6
接客,zip3 haak3
接触,zip3 zuk1
接觸,zip3 zuk1
接近,zip3 gan6
控,hung3
控制,hung3 zai3
控罪,hung3 zeoi6
推,teoi1
推介,teoi1 gaai3
推出,teoi1 ceot1
推动力,teoi1 dung6 lik6
推動力,teoi1 dung6 lik6
推卸,teoi1 se3
推广日,teoi1 gwong2 jat6
推廣日,teoi1 gwong2 jat6
推荐,teoi1 zin3
推荐书,teoi1 zin3 syu1
推薦,teoi1 zin3
推薦書,teoi1 zin3 syu1
推行,teoi1 hang4
推进,teoi1 zeon3
推迟,teoi1 ci4
推進,teoi1 zeon3
推遲,teoi1 ci4
推銷,teoi1 siu1
推销,teoi1 siu1
掯,kang3
掷物,zaak6 mat6
掹,mang1
揀,gaan2
揀人,gaan2 jan4
揍,zau3
提,tai4
提供,tai4 gung1
提出,tai4 ceot1
提到,tai4 dou3
提及,tai4 kap6
提名,tai4 ming4
提神,tai4 san4
提議,tai4 ji5
提议,tai4 ji5
提起,tai4 hei2
提过,tai4 gwo3
提過,tai4 gwo3
提醒,tai4 seng2
插,caap3
揖,jap1
揚,joeng4
換,wun6
換取,wun6 ceoi2
換血,wun6 hyut3
換轉,wun6 zyun3
揞,ngam2
揣测,cyun2 cak1
揣測,cyun2 cak1
揦,laa2
揦口揦面,laa2 hau2 laa2 min6
揦西,laa2 sai1
揩,haai1
揭,kit3
揮霍,fai1 fok3
揸,zaa1
揸來,zaa1 lai4
揸来,zaa1 lai4
揹,bui3
揽,laam2
揾,wan2
揾嘢食,wan2 je5 sik6
揾工,wan2 gung1
揾笨,wan2 ban6
揾錢,wan2 cin2
揾钱,wan2 cin2
揾食,wan2 sik6
揿,gam6
搅,gaau2
損,syun2
損傷,syun2 soeng1
損失,syun2 sat1
損毀,syun2 wai2
搏,bok3
搏命,bok3 meng6
搔,sou1
搖滾,jiu4 gwan2
搞,gaau2
搞事,gaau2 si6
搞嘢,gaau2 je5
搞掂,gaau2 dim6
搞搞震,gaau2 gaau2 zan3
搞法,gaau2 faat3
搞笑,gaau2 siu3
搞錯,gaau2 co3
搞错,gaau2 co3
搣,mit1
搦,nik1
搦走,lik1 zau2
搦起,lik1 hei2
搦返,nik1 faan1
搬,bun1
搬上,bun1 soeng5
搬去,bun1 heoi3
搬搬抬抬,bun1 bun1 toi4 toi4
搬走,bun1 zau2
搭,daap3
搭去,daap6 heoi3
搭嘴,daap3 zeoi2
搭船,daap3 syun4
搭車,daap3 ce1
搭车,daap3 ce1
搲,we2
搵,wan2
搵嘢食,wan2 je5 sik6
搵工,wan2 gung1
搵笨,wan2 ban6
搵錢,wan2 cin2
搵食,wan2 sik6
搶,coeng2
搶市,coeng2 si5
携带,kwai4 daai3
搽,caa4
摀低身,wu1 dai1 san1
摄,sip3
摆,baai2
摆低,baai2 dai1
摆明,baai2 ming4
摆落,baai2 lok6
摇滚,jiu4 gwan2
摊,taan1
摊唞,taan1 tau2
摊开,taan1 hoi1
